0,1,2
author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex,,
Самолет Плюс;real_estate_agent;https://ulyanovsk.cian.ru/sale/flat/307813044/;Серпухов};sale;flat;6;6;1;31.5;2450000;Засвияжский;проспект 50-летия ВЛКСМ;21;;,,
АЛЕКСАНДР-НЕДВИЖИМОСТЬ;real_estate_agent;https://vologda.cian.ru/sale/flat/307135963/;Серпухов};sale;flat;4;5;1;29.1;2490000;Вологда; Разина;23;;,,
Самолет Плюс СОТА;real_estate_agent;https://belgorod.cian.ru/sale/flat/298956208/;Серпухов};sale;flat;2;5;1;23.0;2490000;Восточный; Макаренко;4б;;,,
Спецмонтаж;developer;https://tambov.cian.ru/sale/flat/302032946/;Серпухов};sale;flat;2;5;1;26.02;2450000;д. Крутые Выселки; Лучезарная;8;;Изумрудный город,,
ИП Линник Е.В.;real_estate_agent;https://ufa.cian.ru/sale/flat/307737337/;Серпухов};sale;flat;6;9;1;22.0;2500000;Калининский; имени Фронтовых Бригад;9;;,,
Домнушка;real_estate_agent;https://voronezh.cian.ru/sale/flat/307863865/;Серпухов};sale;flat;4;5;1;34.5;2500000;с. Новая Усмань; Полевая;35;;,,
Самолет Плюс Уфа;real_estate_agent;https://ufa.cian.ru/sale/flat/305012688/;Серпухов};sale;flat;1;2;1;30.0;2500000;с. Михайловка; Ленина;36;;,,
Ипотечное агенство Югры;real_estate_agent;https://hmao.cian.ru/sale/flat/308829188/;Серпухов};sale;flat;5;5;1;30.9;2500000;Нижневартовск; Маршала Жукова;2А;;,,
Альян;real_estate_agent;https://krym.cian.ru/sale/flat/307400945/;Серпухов};sale;flat;1;3;1;30.0;2500000;с. Солнечногорское; Вишневая;46;;,,
Павел Смирнов;realtor;https://vladimir.cian.ru/sale/flat/306100306/;Серпухов};sale;flat;4;4;1;37.5;2500000;Кольчугино; Шмелева;14;;,,
Этажи Кострома;real_estate_agent;https://kostroma.cian.ru/sale/flat/308610551/;Серпухов};sale;flat;4;5;1;31.4;2500000;Кострома;Депутатская ;22;;,,
ГРАНТА-недвижимость;real_estate_agent;https://krasnoyarsk.cian.ru/sale/flat/307991234/;Серпухов};sale;flat;1;2;1;38.1;2500000;Кировский;Шелковая ;7;;,,
Эксперт-недвижимость;real_estate_agent;https://ryazan.cian.ru/sale/flat/306885246/;Серпухов};sale;flat;3;5;1;30.0;2500000;Московский;Октябрьская ;58к1;;,,
Огни;developer;https://tula.cian.ru/sale/flat/295149990/;Серпухов};sale;flat;3;5;1;20.89;2506800;;;;;Живой район Огни,,
Альтернатива;real_estate_agent;https://belgorod.cian.ru/sale/flat/306888405/;Серпухов};sale;flat;9;9;1;40.2;2560000;;;;;,,
ТОЧНО. Недвижимость;real_estate_agent;https://penza.cian.ru/sale/flat/306662919/;Серпухов};sale;flat;5;5;1;29.0;2590000;Октябрьский;Одесская ;5;;,,
Самолет Плюс;real_estate_agent;https://ulyanovsk.cian.ru/sale/flat/307797102/;Серпухов};sale;flat;4;5;1;33.6;2550000;Железнодорожный;Хрустальная ;56;;,,
Самолет ПЛЮС Орёл;real_estate_agent;https://orel.cian.ru/sale/flat/308100466/;Серпухов};sale;flat;2;5;1;31.0;2585000;Заводской;Комсомольская ;247;;,,
РИМ;real_estate_agent;https://penza.cian.ru/sale/flat/307431624/;Серпухов};sale;flat;3;9;1;33.0;2590000;Октябрьский;Кронштадтская ;1;;,,
Ипотечное агенство Югры;real_estate_agent;https://hmao.cian.ru/sale/flat/308824163/;Серпухов};sale;flat;3;5;1;29.0;2590000;Нижневартовск; Маршала Жукова;30;;,,
Этажи Ярославль;real_estate_agent;https://yaroslavl.cian.ru/sale/flat/303696554/;Серпухов};sale;flat;11;14;1;39.48;2589000;Фрунзенский; Дядьковская;7;;,,
ЭТАЖИ Ульяновск;real_estate_agent;https://ulyanovsk.cian.ru/sale/flat/276248487/;Серпухов};sale;flat;16;25;1;36.4;2550000;Ленинский;Ипподромная ;4А;;Ипподромная,,
Риелт Комфорт;real_estate_agent;https://kaliningrad.cian.ru/sale/flat/307955800/;Серпухов};sale;flat;1;5;1;12.6;2550000;Московский;Полоцкая ;;;,,
Этажи Тула;real_estate_agent;https://tula.cian.ru/sale/flat/308383665/;Серпухов};sale;flat;3;3;1;31.5;2550000;д. Мыза (Иншинский сельский округ);бульвар Победы;5к1;;,,
ЕДИНСТВО;developer;https://tula.cian.ru/sale/flat/289780877/;Серпухов};sale;flat;20;20;1;23.55;2590500;;;;;Экополис ,,
ПОЛЕЗНЫЕ ЛЮДИ;real_estate_agent;https://omsk.cian.ru/sale/flat/307338386/;Серпухов};sale;flat;6;9;1;27.6;2600000;Центральный; Лермонтова;57;;,,
Самолет Плюс Пенза;real_estate_agent;https://penza.cian.ru/sale/flat/307059887/;Серпухов};sale;flat;4;9;1;37.1;2600000;Октябрьский;проспект Строителей;49;;,,
Гарант Плюс Недвижимость;real_estate_agent;https://lipetsk.cian.ru/sale/flat/301514861/;Серпухов};sale;flat;3;11;1;42.7;2600000;Берендей кп; Тамбовская;14;;,,
Владис;real_estate_agent;https://vladimir.cian.ru/sale/flat/307068325/;Серпухов};sale;flat;1;9;1;39.0;2630000;Ковров; Грибоедова;11;;,,
Павел Смирнов;realtor;https://vladimir.cian.ru/sale/flat/305976528/;Серпухов};sale;flat;3;5;1;31.7;2600000;Кольчугино; Ломако;12;;,,
Этажи Кострома;real_estate_agent;https://kostroma.cian.ru/sale/flat/308608393/;Серпухов};sale;flat;5;5;1;34.0;2600000;Кострома; 11-я Рабочая;5;;,,
Мир Квартир;real_estate_agent;https://orenburg.cian.ru/sale/flat/308285287/;Серпухов};sale;flat;4;5;1;34.0;2600000;Октябрьский; Короленко;140А;;,,
ID 123056625;homeowner;https://tambov.cian.ru/sale/flat/308314174/;Серпухов};sale;flat;10;11;1;34.72;2600000;Советский; Киквидзе;77Б;;ул. Киквидзе 77Б,,
ТОЧНО. Недвижимость;real_estate_agent;https://penza.cian.ru/sale/flat/307085609/;Серпухов};sale;flat;6;9;1;35.0;2650000;Октябрьский;Ульяновская ;44;;,,
Самолет Плюс Йошкар-Ола;real_estate_agent;https://yoshkar-ola.cian.ru/sale/flat/304415341/;Серпухов};sale;flat;4;6;1;31.7;2699000;Йошкар-Ола;Первомайская ;112;;,,
Брусника Обмен;real_estate_agent;https://novosibirsk.cian.ru/sale/flat/305165586/;Серпухов};sale;flat;1;9;1;29.8;2650000;Кировский; Чемская;2;Студенческая;,,
Аякс Тула;real_estate_agent;https://tula.cian.ru/sale/flat/302238346/;Серпухов};sale;flat;3;5;1;32.0;2690000;пос. Скуратовский; Шахтерская;49;;,,
Самолет Плюс Уфа;real_estate_agent;https://ufa.cian.ru/sale/flat/307656028/;Серпухов};sale;flat;6;9;1;29.8;2680000;Орджоникидзевский;Кольцевая ;205/1;;,,
Этажи Тюмень;real_estate_agent;https://tyumen.cian.ru/sale/flat/308873470/;Серпухов};sale;flat;1;2;1;31.4;2700000;мкр. РТС; Черепанова;70;;,,
Этажи Кострома;real_estate_agent;https://kostroma.cian.ru/sale/flat/308946728/;Серпухов};sale;flat;4;5;1;31.4;2700000;Кострома; Голубкова;11;;,,
Самолет Плюс Уфа;real_estate_agent;https://ufa.cian.ru/sale/flat/306292445/;Серпухов};sale;flat;5;5;1;32.2;2700000;Орджоникидзевский;Борисоглебская ;4;;,,
ТОЧНО. Недвижимость;real_estate_agent;https://penza.cian.ru/sale/flat/306279944/;Серпухов};sale;flat;9;9;1;34.4;2700000;Ленинский; 8 Марта;9;;,,
Недвижимость 24;real_estate_agent;https://penza.cian.ru/sale/flat/308449750/;Серпухов};sale;flat;4;5;1;29.0;2700000;Железнодорожный; Клары Цеткин;49;;,,
САМПО-СИТИ;real_estate_agent;https://nn.cian.ru/sale/flat/302623086/;Серпухов};sale;flat;2;2;1;30.7;2700000;Сормовский;Полесская ;11;;,,
Успех;real_estate_agent;https://vladimir.cian.ru/sale/flat/306069385/;Серпухов};sale;flat;1;4;1;30.9;2700000;Александров; Терешковой;6/1;;,,
ЭТАЖИ Ульяновск;real_estate_agent;https://ulyanovsk.cian.ru/sale/flat/273935200/;Серпухов};sale;flat;5;16;1;32.6;2700000;Железнодорожный; Автомобилистов;7А;;Олимп,,
Этажи Тула;real_estate_agent;https://tula.cian.ru/sale/flat/308383936/;Серпухов};sale;flat;2;3;1;31.6;2700000;д. Мыза (Иншинский сельский округ); Героя России Рындина;4;;,,
ИП Ермакова Татьяна Александровна;real_estate_agent;https://belgorod.cian.ru/sale/flat/307004266/;Серпухов};sale;flat;5;5;1;30.0;2700000;мкр. Радуга; Некрасова;5А;;,,
ID 15203850;realtor;https://nalchik.cian.ru/sale/flat/279477495/;Серпухов};sale;flat;8;9;1;30.0;2700000;Нальчик; Ю.А. Гагарина;18к1;;,,
Спецмонтаж;developer;https://tambov.cian.ru/sale/flat/298604444/;Серпухов};sale;flat;5;5;1;29.35;2700000;д. Крутые Выселки; Лучезарная;8;;Изумрудный город,,
Выбор плюс;real_estate_agent;https://kazan.cian.ru/sale/flat/293517192/;Серпухов};sale;flat;9;9;1;32.6;2750000;Зеленодольск; Королева;12;;,,
Квартал;real_estate_agent;https://chelyabinsk.cian.ru/sale/flat/294077559/;Серпухов};sale;flat;6;9;1;31.0;2769000;Калининский; Молодогвардейцев;66б;;,,
Альтернатива;real_estate_agent;https://belgorod.cian.ru/sale/flat/302547543/;Серпухов};sale;flat;5;9;1;39.0;2750000;Старый Оскол; Свердлова;23;;,,
ТОЧНО. Недвижимость;real_estate_agent;https://penza.cian.ru/sale/flat/306855530/;Серпухов};sale;flat;6;9;1;35.0;2750000;Железнодорожный; Луначарского;44;;,,
ТОЧНО. Недвижимость;real_estate_agent;https://penza.cian.ru/sale/flat/307707217/;Серпухов};sale;flat;7;10;1;28.0;2750000;Октябрьский; Собинова;4;;,,
RESIDENT;real_estate_agent;https://volgograd.cian.ru/sale/flat/308901821/;Серпухов};sale;flat;5;10;1;30.9;2790000;Волжский; Имени генерала Карбышева;120;;Радужный,,
Компас;real_estate_agent;https://voronezh.cian.ru/sale/flat/304201305/;Серпухов};sale;flat;2;5;1;30.0;2770000;Коминтерновский;Беговая ;8/1;;,,
Триумф;real_estate_agent;https://maykop.cian.ru/sale/flat/306297099/;Серпухов};sale;flat;4;4;1;34.4;2750000;Яблоновский пгт; Гагарина;155/3;;,,
Владис;real_estate_agent;https://syktyvkar.cian.ru/sale/flat/301642580/;Серпухов};sale;flat;3;4;1;34.62;2750000;Сыктывкар; Панева;3;;Жилой квартал по ул. Ручейная,,
Сити Центр Владис;real_estate_agent;https://voronezh.cian.ru/sale/flat/308094741/;Серпухов};sale;flat;3;19;1;24.8;2750000;Железнодорожный; Суворова;122Д;;,,
Самолет Плюс;real_estate_agent;https://ulyanovsk.cian.ru/sale/flat/306717494/;Серпухов};sale;flat;1;9;1;34.5;2760000;Железнодорожный;Кольцевая ;24;;,,
Данис Девелопмент;real_estate_agent;https://krasnodar.cian.ru/sale/flat/307091932/;Серпухов};sale;flat;6;9;1;32.0;2750000;Прикубанский; Имени Генерала Корнилова;9к2;;,,
Данис Девелопмент;real_estate_agent;https://maykop.cian.ru/sale/flat/307860408/;Серпухов};sale;flat;1;4;1;35.5;2750000;Новая Адыгея аул; Бжегокайская;90/1к1;;,,
Самолет Плюс Чебоксары;real_estate_agent;https://cheboksary.cian.ru/sale/flat/306946485/;Серпухов};sale;flat;1;5;1;33.0;2750000;Новочебоксарск;Восточная ;16;;,,
Домострой;developer;https://bryansk.cian.ru/sale/flat/295330038/;Серпухов};sale;flat;1;5;1;48.83;2788193;;;;;Чистые пруды,,
ID 117133654;homeowner;https://chelyabinsk.cian.ru/sale/flat/302630160/;Серпухов};sale;flat;3;3;1;34.2;2750000;Ленинский; Чапаева;7;;,,
Владис;real_estate_agent;https://bryansk.cian.ru/sale/flat/291052599/;Серпухов};sale;flat;4;5;1;31.3;2800000;Советский; Фокина;68;;,,
ТОЧНО. Недвижимость;real_estate_agent;https://penza.cian.ru/sale/flat/308251173/;Серпухов};sale;flat;3;9;1;35.0;2800000;Октябрьский;проспект Строителей;130;;,,
ТОЧНО. Недвижимость;real_estate_agent;https://penza.cian.ru/sale/flat/308062449/;Серпухов};sale;flat;3;9;1;34.0;2800000;Октябрьский;проспект Строителей;60;;,,
ВЕРОНА;real_estate_agent;https://krasnodar.cian.ru/sale/flat/306665343/;Серпухов};sale;flat;8;10;1;32.0;2800000;Прикубанский; Летчика Позднякова;2к8;;Дыхание,,
Новая Высота;real_estate_agent;https://volgograd.cian.ru/sale/flat/307838369/;Серпухов};sale;flat;1;5;1;30.5;2849000;Советский; Академика Королева;7;;,,
Самолет Плюс Астрахань;real_estate_agent;https://astrahan.cian.ru/sale/flat/305577163/;Серпухов};sale;flat;1;5;1;29.2;2800000;Советский;Звездная ;33;;,,
Грани;real_estate_agent;https://voronezh.cian.ru/sale/flat/306543979/;Серпухов};sale;flat;9;9;1;34.1;2800000;Левобережный;Баррикадная ;9;;,,
Железно Эксперт;real_estate_agent;https://ulyanovsk.cian.ru/sale/flat/308781006/;Серпухов};sale;flat;3;3;1;26.2;2800000;Засвияжский;Камышинская ;87;;,,
Самолет Плюс Уфа;real_estate_agent;https://ufa.cian.ru/sale/flat/298567392/;Серпухов};sale;flat;3;5;1;33.0;2800000;Дёмский;;;;Город природы,,
Калининградская недвижимость;real_estate_agent;https://kaliningrad.cian.ru/sale/flat/303300784/;Серпухов};sale;flat;4;5;1;22.2;2800000;Ленинградский; Литовский Вал;89А;;,,
Татьяна Фомовская;realtor;https://kaliningrad.cian.ru/sale/flat/307363969/;Серпухов};sale;flat;2;3;1;33.0;2800000;Светлый; Ленина;20;;по ул. Ленина, 20,
АЯКС Ярославль;real_estate_agent;https://yaroslavl.cian.ru/sale/flat/296318359/;Серпухов};sale;flat;5;10;1;37.8;2800000;Дзержинский; Брагинская;18к3;;Возрождение,,
АЯКС Ярославль;real_estate_agent;https://yaroslavl.cian.ru/sale/flat/298326357/;Серпухов};sale;flat;6;10;1;38.75;2800000;Дзержинский; Брагинская;18к3;;,,
Российский аукционный дом;real_estate_agent;https://cheboksary.cian.ru/sale/flat/307569186/;Серпухов};sale;flat;8;16;1;37.3;2800000;Новочебоксарск;бульвар Речной;2к1;;Речной бульвар (Роспан),,
Российский аукционный дом;real_estate_agent;https://cheboksary.cian.ru/sale/flat/307567569/;Серпухов};sale;flat;11;16;1;37.5;2800000;Новочебоксарск;бульвар Речной;2к1;;Речной бульвар (Роспан),,
Российский аукционный дом;real_estate_agent;https://cheboksary.cian.ru/sale/flat/307569181/;Серпухов};sale;flat;8;16;1;37.2;2800000;Новочебоксарск;бульвар Речной;2к1;;Речной бульвар (Роспан),,
Лист;developer;https://orenburg.cian.ru/sale/flat/302657321/;Серпухов};sale;flat;5;9;1;24.51;2806149;Центральный;Аренда мкр;;;Металлист ЖК,,
ОХРА;developer;https://vladimir.cian.ru/sale/flat/302241543/;Серпухов};sale;flat;5;17;1;28.4;2811600;;;;;Квартал Авиатор,,
Этажи Тюмень;real_estate_agent;https://tyumen.cian.ru/sale/flat/308341359/;Серпухов};sale;flat;2;4;1;30.0;2860000;мкр. Тарманы; Бирюзова;10;;,,
ТОЧНО. Недвижимость;real_estate_agent;https://penza.cian.ru/sale/flat/307670468/;Серпухов};sale;flat;2;5;1;32.0;2899000;Железнодорожный; Клары Цеткин;19;;,,
Квадрат;real_estate_agent;https://lipetsk.cian.ru/sale/flat/308412069/;Серпухов};sale;flat;5;5;1;30.7;2850000;мкр. 2-й; Гагарина;115к1;;,,
Самолет Плюс Уфа;real_estate_agent;https://ufa.cian.ru/sale/flat/288250627/;Серпухов};sale;flat;5;5;1;32.0;2890000;Орджоникидзевский;Вологодская ;77;;,,
РИМ;real_estate_agent;https://penza.cian.ru/sale/flat/307672350/;Серпухов};sale;flat;10;11;1;33.0;2890000;Октябрьский;Ладожская ;168;;,,
ID 115146123;homeowner;https://volgograd.cian.ru/sale/flat/307893646/;Серпухов};sale;flat;6;8;1;28.04;2880000;Тракторозаводский; Тракторостроителей;21/1;;Новый (СЗ Стройф),,
ПОЛЕЗНЫЕ ЛЮДИ;real_estate_agent;https://omsk.cian.ru/sale/flat/305919633/;Серпухов};sale;flat;4;5;1;29.8;2900000;мкр. Солнечный; 2-я Солнечная;28А;;,,
Этажи Кострома;real_estate_agent;https://kostroma.cian.ru/sale/flat/308941091/;Серпухов};sale;flat;4;4;1;29.0;2900000;Кострома;Катушечная ;80а;;,,
Сити Центр Владис;real_estate_agent;https://voronezh.cian.ru/sale/flat/308100976/;Серпухов};sale;flat;2;5;1;32.0;2900000;Коминтерновский; Урицкого;64;;,,
Самолет ПЛЮС Орёл;real_estate_agent;https://orel.cian.ru/sale/flat/308245754/;Серпухов};sale;flat;5;5;1;32.6;2900000;Заводской;Комсомольская ;316;;,,
САНКИН - САЛКИН И ПАРТНЕРЫ;real_estate_agent;https://spb.cian.ru/sale/flat/308861278/;Серпухов};sale;flat;1;12;1;44.2;2900000;; Мира;9;Улица Дыбенко;,,
author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex,,
Риверхаус;developer;https://shchyolkovo.cian.ru/sale/flat/287401169/;Щёлково;sale;flat;3;20;2;88.4;11074752;;Советская ;60;Первомайская;River House,,
ID 313435;homeowner;https://shchyolkovo.cian.ru/sale/flat/301881672/;Щёлково;sale;flat;15;17;2;65.3;7700000;;;1к2;Щёлковская;Потапово,,
Марина Королева;realtor;https://shchyolkovo.cian.ru/sale/flat/308212188/;Щёлково;sale;flat;5;5;1;32.0;3300000;мкр. Заречный;Сиреневая ;8;;,,
Риверхаус;developer;https://shchyolkovo.cian.ru/sale/flat/302077761/;Щёлково;sale;flat;16;20;1;46.6;9320000;;Советская ;60;Первомайская;River House,,
ТСН Владис;real_estate_agent;https://shchyolkovo.cian.ru/sale/flat/306602225/;Щёлково;sale;flat;12;14;2;60.0;6300000;;;17;Щёлковская;Богородский,,
МИЭЛЬ Офис в Пушкино;real_estate_agent;https://shchyolkovo.cian.ru/sale/flat/298265645/;Щёлково;sale;flat;12;15;1;38.5;6400000;Щелково;Центральная ;71к2;;,,
Риверхаус;developer;https://shchyolkovo.cian.ru/sale/flat/280751659/;Щёлково;sale;flat;13;20;2;80.0;12400000;;Советская ;60;Первомайская;River House,,
ТСН Владис;real_estate_agent;https://shchyolkovo.cian.ru/sale/flat/306058433/;Щёлково;sale;flat;10;12;2;46.4;6980000;;Краснознаменская ;17к5;Щёлковская;Краснознаменская 17,,
Монолит - Недвижимость в Щёлковском районе;real_estate_agent;https://shchyolkovo.cian.ru/sale/flat/308635530/;Щёлково;sale;flat;1;5;1;31.0;3650000;; Беляева;22;Щёлковская;,,
Риверхаус;developer;https://shchyolkovo.cian.ru/sale/flat/292809512/;Щёлково;sale;flat;14;20;2;80.7;12508500;;Советская ;60;Первомайская;River House,,
ТСН Владис;real_estate_agent;https://shchyolkovo.cian.ru/sale/flat/305187341/;Щёлково;sale;flat;7;17;2;68.9;9200000;;;3;Щёлковская;Финский,,
Ингосстрах Банк;real_estate_agent;https://shchyolkovo.cian.ru/sale/flat/300689365/;Щёлково;sale;flat;5;5;1;27.9;2939400;мкр. Щелково-7;проспект 60 лет Октября;5;;,,
ГРАНД;developer;https://shchyolkovo.cian.ru/sale/flat/307648972/;Щёлково;sale;flat;17;17;2;61.06;10055361;;;к8;Гольяново;Соболевка ЖК,,
ТСН Владис;real_estate_agent;https://shchyolkovo.cian.ru/sale/flat/305185902/;Щёлково;sale;flat;4;4;1;30.1;3200000;;Западная ;28;Щёлковская;,,
Легион-Недвижимость;real_estate_agent;https://shchyolkovo.cian.ru/sale/flat/304495279/;Щёлково;sale;flat;7;14;1;42.3;5850000;мкр. Дальний Воронок;Центральная ;92;;,,
ГРАНД;developer;https://shchyolkovo.cian.ru/sale/flat/307648480/;Щёлково;sale;flat;11;17;1;46.53;6979500;;;к6;Щёлковская;Соболевка ЖК,,
ТСН Владис;real_estate_agent;https://shchyolkovo.cian.ru/sale/flat/307411429/;Щёлково;sale;flat;8;9;2;45.5;5999999;;Пустовская ;18;Щёлковская;,,
Виктория Жугина;realtor;https://shchyolkovo.cian.ru/sale/flat/308409064/;Щёлково;sale;flat;4;14;1;41.2;5350000;;Заречная ;5Б;Щёлковская;Пролетарский проспект 12,,
ГРАНД;developer;https://shchyolkovo.cian.ru/sale/flat/307648847/;Щёлково;sale;flat;10;17;2;60.39;8937720;;;к7;Железнодорожная;Соболевка ЖК,,
Самолет плюс Щелково;real_estate_agent;https://shchyolkovo.cian.ru/sale/flat/305279515/;Щёлково;sale;flat;13;17;1;46.0;6930000;;переулок 1-й Советский;16А;Щёлковская;,,
ID 257252;homeowner;https://shchyolkovo.cian.ru/sale/flat/307747596/;Щёлково;sale;flat;2;5;2;46.0;4300000;; Комарова;17к2;Щёлковская;,,
R-invest;developer;https://shchyolkovo.cian.ru/sale/flat/307945981/;Щёлково;sale;flat;1;17;1;34.44;6354300;;Полевая ;4А;Гольяново;Дом на Сиреневой,,
ТСН Владис;real_estate_agent;https://shchyolkovo.cian.ru/sale/flat/307259395/;Щёлково;sale;flat;4;5;1;30.7;3800000;; Беляева;16;Щёлковская;,,
ID 334628;unknown;https://shchyolkovo.cian.ru/sale/flat/307084562/;Щёлково;sale;flat;6;9;2;44.0;5600000;;;6;Щёлковская;,,
ГРАНД;developer;https://shchyolkovo.cian.ru/sale/flat/307648823/;Щёлково;sale;flat;7;17;2;58.12;8601760;;;к7;Железнодорожная;Соболевка ЖК,,
ТСН Владис;real_estate_agent;https://shchyolkovo.cian.ru/sale/flat/307952579/;Щёлково;sale;flat;2;4;2;45.0;6200000;;Парковая ;4;Щёлковская;,,
ID 13402229;homeowner;https://shchyolkovo.cian.ru/sale/flat/289444105/;Щёлково;sale;flat;5;9;2;52.9;6100000;; Радиоцентра № 5;13;Щёлковская;,,
R-invest;developer;https://shchyolkovo.cian.ru/sale/flat/308384997/;Щёлково;sale;flat;16;17;2;64.4;8369794;;Фряновское шоссе;13;Гольяново;Солнечная долина,,
ID 15969778;homeowner;https://shchyolkovo.cian.ru/sale/flat/302992572/;Щёлково;sale;flat;3;5;2;48.5;4300000;; Беляева;35;Щёлковская;,,
R-invest;developer;https://shchyolkovo.cian.ru/sale/flat/308384704/;Щёлково;sale;flat;13;17;2;77.29;12656000;; Строителей;14А;Щёлковская;Солнечный Парк,,
ID 109057571;homeowner;https://shchyolkovo.cian.ru/sale/flat/308931539/;Щёлково;sale;flat;11;17;2;63.0;9500000;;;;;Богородский,,
ID 340365;realtor;https://shchyolkovo.cian.ru/sale/flat/306573703/;Щёлково;sale;flat;7;16;2;58.7;6950000;;;;;Богородский,,
ГРАНД;developer;https://shchyolkovo.cian.ru/sale/flat/307648539/;Щёлково;sale;flat;14;17;2;54.28;8033440;;;к6;Щёлковская;Соболевка ЖК,,
ID 12364983;homeowner;https://shchyolkovo.cian.ru/sale/flat/302387245/;Щёлково;sale;flat;6;16;2;62.0;10250000;;;;;Богородский,,
ID 334100;unknown;https://shchyolkovo.cian.ru/sale/flat/307135546/;Щёлково;sale;flat;10;17;1;43.0;5550000;;;;;Богородский,,
R-invest;developer;https://shchyolkovo.cian.ru/sale/flat/307945864/;Щёлково;sale;flat;13;17;1;41.0;5974734;;Фряновское шоссе;13;Гольяново;Солнечная долина,,
ID 116431322;homeowner;https://shchyolkovo.cian.ru/sale/flat/301875137/;Щёлково;sale;flat;14;14;2;62.4;9177744;;;;;Финский,,
Виктория Колтунова;realtor;https://shchyolkovo.cian.ru/sale/flat/304392280/;Щёлково;sale;flat;3;5;1;27.6;3150000;; Беляева;9;Щёлковская;,,
ГРАНД;developer;https://shchyolkovo.cian.ru/sale/flat/307648760/;Щёлково;sale;flat;1;17;1;39.66;5949000;;;к7;Железнодорожная;Соболевка ЖК,,
ID 52751740;homeowner;https://shchyolkovo.cian.ru/sale/flat/307569787/;Щёлково;sale;flat;5;5;2;41.6;5390000;; Беляева;1;Щёлковская;,,
Квартирный вопрос. Щелково;real_estate_agent;https://shchyolkovo.cian.ru/sale/flat/307721390/;Щёлково;sale;flat;8;14;2;60.7;7600000;; Жегаловская;27;Щёлковская;Новое Жегалово,,
Риверхаус;developer;https://shchyolkovo.cian.ru/sale/flat/280751835/;Щёлково;sale;flat;8;20;2;86.6;16454000;;Советская ;60;Первомайская;River House,,
Гранд Капитал;real_estate_agent;https://shchyolkovo.cian.ru/sale/flat/307957535/;Щёлково;sale;flat;3;5;2;47.0;4570000;мкр. Щелково-12; 8 Марта;19а;;,,
ID 81164633;unknown;https://shchyolkovo.cian.ru/sale/flat/308687656/;Щёлково;sale;flat;2;3;2;40.4;4800000;; Плеханова;10;Щёлковская;,,
R-invest;developer;https://shchyolkovo.cian.ru/sale/flat/308385111/;Щёлково;sale;flat;1;17;2;61.11;9718800;;Полевая ;4Б;Гольяново;Дом на Сиреневой,,
Дмитрий Чиркин;realtor;https://shchyolkovo.cian.ru/sale/flat/307346621/;Щёлково;sale;flat;2;17;1;39.6;5100000;;;1к2;Щёлковская;Потапово,,
ID 174200;homeowner;https://shchyolkovo.cian.ru/sale/flat/305822003/;Щёлково;sale;flat;6;16;1;43.0;5550000;;;;;Богородский,,
R-invest;developer;https://shchyolkovo.cian.ru/sale/flat/308384856/;Щёлково;sale;flat;16;17;2;50.56;9616200;;Центральная ;69;Щёлковская;Солнечный Парк,,
Дмитрий Чернов;realtor;https://shchyolkovo.cian.ru/sale/flat/305212868/;Щёлково;sale;flat;4;5;2;46.5;4490000;мкр. Заречный; Космодемьянская;13;;,,
ID 82611083;homeowner;https://shchyolkovo.cian.ru/sale/flat/277585354/;Щёлково;sale;flat;1;2;2;45.4;4000000;мкр. Дальний Воронок;Пионерская ;14;;,,
R-invest;developer;https://shchyolkovo.cian.ru/sale/flat/308384762/;Щёлково;sale;flat;13;17;2;74.84;13106400;; Строителей;14А;Щёлковская;Солнечный Парк,,
Монолит - Недвижимость в Щёлковском районе;real_estate_agent;https://shchyolkovo.cian.ru/sale/flat/304573698/;Щёлково;sale;flat;4;4;1;32.0;3790000;; Институтская;28;Щёлковская;,,
МИЭЛЬ;real_estate_agent;https://shchyolkovo.cian.ru/sale/flat/308875950/;Щёлково;sale;flat;3;5;1;34.0;4500000;; Беляева;20А;Щёлковская;,,
R-invest;developer;https://shchyolkovo.cian.ru/sale/flat/307945827/;Щёлково;sale;flat;15;17;1;42.18;6525310;;Фряновское шоссе;13;Гольяново;Солнечная долина,,
Владимир Волошинов;realtor;https://shchyolkovo.cian.ru/sale/flat/297111359/;Щёлково;sale;flat;9;14;1;35.0;4500000;;Комсомольская ;2;Щёлковская;,,
ID 95085;realtor;https://shchyolkovo.cian.ru/sale/flat/308294258/;Щёлково;sale;flat;3;5;2;48.0;4650000;мкр. Заречный; Космодемьянская;15к3;;,,
Ирина Шалаевская;realtor;https://shchyolkovo.cian.ru/sale/flat/301123977/;Щёлково;sale;flat;1;4;1;30.1;4350000;; Пушкина;17;Щёлковская;,,
ID 78884982;unknown;https://shchyolkovo.cian.ru/sale/flat/305562447/;Щёлково;sale;flat;8;9;1;36.0;5650000;;Советская ;3;Щёлковская;,,
R-invest;developer;https://shchyolkovo.cian.ru/sale/flat/308854556/;Щёлково;sale;flat;8;17;2;61.86;10143600;;Полевая ;4А;Гольяново;Дом на Сиреневой,,
АЛГА;real_estate_agent;https://shchyolkovo.cian.ru/sale/flat/306696989/;Щёлково;sale;flat;9;9;2;45.0;5350000;; Жуковского;7;Щёлковская;,,
